,experiment,timestep,mean episodic length,mean episodic returns,mean episodic runtime,std episodic returns
0,experiment,642400,200.0,-1023.5292209534332,0.03597699512134899,149.4970557685107
0,experiment,644600,200.0,-1026.553196603215,0.038462075320157135,87.34548958750935
0,experiment,646800,200.0,-1047.550651431803,0.039196556264703926,87.61738101859238
0,experiment,649000,200.0,-1028.8556593761914,0.036753177642822266,101.4778904324224
0,experiment,651200,200.0,-1003.2096018426147,0.03692228143865412,82.90648497748447
0,experiment,653400,200.0,-1005.5278678960342,0.03708609667691318,96.70758752052127
0,experiment,655600,200.0,-1026.992624359626,0.03659244017167525,100.25564467659194
0,experiment,657800,200.0,-966.6586317260778,0.03801727294921875,99.955387574368
0,experiment,660000,200.0,-911.6408761008241,0.03897159749811346,162.11173614765244
0,experiment,662200,200.0,-965.6963564552174,0.03775637800043279,162.72214710577825
0,experiment,664400,200.0,-1011.035267890193,0.03769358721646396,167.29272431601365
0,experiment,666600,200.0,-946.3007060860601,0.037384661761197174,127.0959360097472
0,experiment,668800,200.0,-813.3128288349827,0.0364180478182706,124.74790539071142
0,experiment,671000,200.0,-930.3611270380842,0.03855791958895596,97.32585556714241
0,experiment,673200,200.0,-947.6592882083479,0.03878120942549272,185.11595079180995
0,experiment,675400,200.0,-977.2319888834586,0.03690385818481445,183.9946746998625
0,experiment,677600,200.0,-1031.5625389227707,0.03751778602600098,166.59117095766018
0,experiment,679800,200.0,-840.701031717721,0.038266962224786934,92.05514717798236
0,experiment,682000,200.0,-933.0044014042404,0.03607713092457165,107.43223504562313
0,experiment,684200,200.0,-955.6588261067034,0.03817339376969771,136.47833926829313
0,experiment,686400,200.0,-965.163066339905,0.03840938481417569,158.66156327910502
0,experiment,688600,200.0,-970.4412531785297,0.03650626269253818,194.01146028054836
0,experiment,690800,200.0,-931.1333260209151,0.03654070334001021,137.21975145351493
0,experiment,693000,200.0,-1006.0591283842962,0.036150997335260567,176.67458259883267
0,experiment,695200,200.0,-897.035346193011,0.035827138207175514,109.18664751180815
0,experiment,697400,200.0,-893.4141035912126,0.037702083587646484,176.00102414490902
0,experiment,699600,200.0,-892.2332147447876,0.03887280550870029,113.58463007756416
0,experiment,701800,200.0,-906.9446702724915,0.03639156168157404,130.27773227506862
0,experiment,704000,200.0,-868.2832217019462,0.03599834442138672,150.9940305014002
0,experiment,706200,200.0,-929.8305028144615,0.03632005778225986,132.92618996602368
