,experiment,timestep,mean episodic length,mean episodic returns,std episodic returns
0,experiment,1037400,200.0,-1545.2780628337762,38.385965837411014
0,experiment,1040000,200.0,-1557.7607662035784,25.74320744449988
0,experiment,1042600,200.0,-1558.1963353810354,37.79546804069842
0,experiment,1045200,200.0,-1541.4443093716998,44.028470140046096
0,experiment,1047800,200.0,-1524.3815122574733,76.59381409749557
0,experiment,1050400,200.0,-1541.7158979742026,34.98337452512501
0,experiment,1053000,200.0,-1513.0968215109713,59.50322707781728
0,experiment,1055600,200.0,-1557.0009272873508,38.02869447217508
0,experiment,1058200,200.0,-1552.2786847834516,52.717447545730074
0,experiment,1060800,200.0,-1585.1928101323856,24.924235992337945
0,experiment,1063400,200.0,-1550.3542443234053,36.52180421353962
0,experiment,1066000,200.0,-1549.0793682774913,36.72472737786198
0,experiment,1068600,200.0,-1572.0983052463696,31.968953313860084
0,experiment,1071200,200.0,-1581.6946651833944,46.65754757695152
0,experiment,1073800,200.0,-1572.749003759,30.417183301150587
0,experiment,1076400,200.0,-1529.4085904510682,60.288387378841
0,experiment,1079000,200.0,-1576.7571637065664,47.820561622953086
0,experiment,1081600,200.0,-1577.7006709658049,39.86619401280526
0,experiment,1084200,200.0,-1548.639226877127,57.07874114959773
0,experiment,1086800,200.0,-1581.3028013514397,38.15793142705921
0,experiment,1089400,200.0,-1563.4584749704045,39.291150519595995
0,experiment,1092000,200.0,-1569.0209668530156,64.29465965596872
0,experiment,1094600,200.0,-1572.7938858175862,35.13726376810993
0,experiment,1097200,200.0,-1547.0896856069214,26.824376336288676
0,experiment,1099800,200.0,-1553.5718782855397,39.209546847681224
0,experiment,1102400,200.0,-1580.230547606499,24.264974473169616
0,experiment,1105000,200.0,-1586.37842798848,33.60456560525454
0,experiment,1107600,200.0,-1565.1090608112195,58.33336087616721
0,experiment,1110200,200.0,-1545.2440766951026,39.91273340192814
0,experiment,1112800,200.0,-1572.1483902206435,18.69821137162808
0,experiment,1115400,200.0,-1566.5618050876465,35.42187188130826
0,experiment,1118000,200.0,-1566.2422785476786,52.84618290386518
0,experiment,1120600,200.0,-1587.012965369352,26.114268953662297
0,experiment,1123200,200.0,-1586.227441325884,34.140606672011685
0,experiment,1125800,200.0,-1608.9189720280215,34.44962537897955
0,experiment,1128400,200.0,-1597.8752854703648,43.70161293623666
0,experiment,1131000,200.0,-1575.2216942938378,58.774497097701264
0,experiment,1133600,200.0,-1561.08278655623,67.89320583857055
0,experiment,1136200,200.0,-1579.134418622521,56.85419177287819
0,experiment,1138800,200.0,-1590.4699722563985,42.238264649912374
0,experiment,1141400,200.0,-1554.1665379752883,65.05394702496986
0,experiment,1144000,200.0,-1593.513254986899,43.57131162214034
0,experiment,1146600,200.0,-1561.7614409659325,52.5050610610767
0,experiment,1149200,200.0,-1589.7387294368918,35.23051486482302
0,experiment,1151800,200.0,-1595.0520411354746,34.0428062788073
0,experiment,1154400,200.0,-1598.0460270045432,32.134056443648305
0,experiment,1157000,200.0,-1573.1724348148748,37.55037949498325
0,experiment,1159600,200.0,-1567.3012482186568,40.205374512255
0,experiment,1162200,200.0,-1583.6569394132082,46.10657413832191
0,experiment,1164800,200.0,-1590.5570119926908,26.309420490146284
