,experiment,timestep,mean episodic length,mean episodic returns,std episodic returns
0,experiment,631400,200.0,-965.0884061833214,135.00841561444236
0,experiment,633600,200.0,-911.294518202604,143.60279980160797
0,experiment,635800,200.0,-963.8162052320314,151.94977473444104
0,experiment,638000,200.0,-955.3870696531477,62.23701264333406
0,experiment,640200,200.0,-1074.2306540939067,130.7397397974502
0,experiment,642400,200.0,-1023.5292209534332,149.4970557685107
0,experiment,644600,200.0,-1026.553196603215,87.34548958750935
0,experiment,646800,200.0,-1047.550651431803,87.61738101859238
0,experiment,649000,200.0,-1028.8556593761914,101.4778904324224
0,experiment,651200,200.0,-1003.2096018426147,82.90648497748447
0,experiment,653400,200.0,-1005.5278678960342,96.70758752052127
0,experiment,655600,200.0,-1026.992624359626,100.25564467659194
0,experiment,657800,200.0,-966.6586317260778,99.955387574368
0,experiment,660000,200.0,-911.6408761008241,162.11173614765244
0,experiment,662200,200.0,-965.6963564552174,162.72214710577825
0,experiment,664400,200.0,-1011.035267890193,167.29272431601365
0,experiment,666600,200.0,-946.3007060860601,127.0959360097472
0,experiment,668800,200.0,-813.3128288349827,124.74790539071142
0,experiment,671000,200.0,-930.3611270380842,97.32585556714241
0,experiment,673200,200.0,-947.6592882083479,185.11595079180995
0,experiment,675400,200.0,-977.2319888834586,183.9946746998625
0,experiment,677600,200.0,-1031.5625389227707,166.59117095766018
0,experiment,679800,200.0,-840.701031717721,92.05514717798236
0,experiment,682000,200.0,-933.0044014042404,107.43223504562313
0,experiment,684200,200.0,-955.6588261067034,136.47833926829313
0,experiment,686400,200.0,-965.163066339905,158.66156327910502
0,experiment,688600,200.0,-970.4412531785297,194.01146028054836
0,experiment,690800,200.0,-931.1333260209151,137.21975145351493
0,experiment,693000,200.0,-1006.0591283842962,176.67458259883267
0,experiment,695200,200.0,-897.035346193011,109.18664751180815
0,experiment,697400,200.0,-893.4141035912126,176.00102414490902
0,experiment,699600,200.0,-892.2332147447876,113.58463007756416
0,experiment,701800,200.0,-906.9446702724915,130.27773227506862
0,experiment,704000,200.0,-868.2832217019462,150.9940305014002
0,experiment,706200,200.0,-929.8305028144615,132.92618996602368
0,experiment,708400,200.0,-934.9634469342944,161.2840093339954
0,experiment,710600,200.0,-952.2680182617358,96.23138255963397
0,experiment,712800,200.0,-973.3346588430835,100.91310538080629
0,experiment,715000,200.0,-983.9719443543416,201.13725954860467
0,experiment,717200,200.0,-918.4545655277271,134.96481770463606
0,experiment,719400,200.0,-892.0267272971046,151.95576870630188
0,experiment,721600,200.0,-913.0509170554469,122.95438705174358
0,experiment,723800,200.0,-869.7819321390875,107.50489820227469
0,experiment,726000,200.0,-893.2920811611945,177.1345827579028
0,experiment,728200,200.0,-957.225579681508,181.96231789891235
0,experiment,730400,200.0,-937.8760100258941,111.65268581390704
0,experiment,732600,200.0,-972.3389361959876,158.4244804003756
0,experiment,734800,200.0,-931.5138173606173,130.6108606200961
0,experiment,737000,200.0,-932.9513205729946,146.60900710462153
0,experiment,739200,200.0,-864.6281890740079,59.30872738632896
0,experiment,741400,200.0,-960.983626438757,121.38425608830941
0,experiment,743600,200.0,-833.9390998365135,74.30454130495488
0,experiment,745800,200.0,-850.0261032613053,178.4380983006212
0,experiment,748000,200.0,-941.5876882545489,133.08367610595258
0,experiment,750200,200.0,-841.1988538373731,142.1411546623002
0,experiment,752400,200.0,-926.041712610994,162.89075544555064
0,experiment,754600,200.0,-885.742465827157,87.13030338035773
0,experiment,756800,200.0,-916.8102845751226,116.87457841484176
0,experiment,759000,200.0,-847.9573387873298,131.1175791686204
0,experiment,761200,200.0,-936.228566252816,101.87442640408216
0,experiment,763400,200.0,-911.9511211137011,121.45195097002536
